"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NKX3-2",210.060392934548,-3.65346304969304,0.315243454731291,-11.5893383188787,4.66724082328733e-31,1.00515395548797e-28
"AP001610.1",858.747717605137,9.96524724767139,0.862559794821617,11.5531089061858,7.11974980504213e-31,1.51367706432069e-28
"TACSTD2",1388.2883109844,2.4664934722848,0.215796573328639,11.4297156541432,2.97080033787377e-30,6.23604835480517e-28
"FMOD",10046.3661315786,-2.71678703947625,0.239096620974241,-11.3627161622202,6.41195326706428e-30,1.32911776284659e-27
"SLC7A5",2601.26691555994,-2.6870601378179,0.237463165492558,-11.3156924032587,1.09732537617058e-29,2.2465366312391e-27
"SPON2",786.112870659403,2.24918105443827,0.199532691827149,11.2722433293622,1.7992631345638e-29,3.63868055615507e-27
"TRIM21",310.252111488626,3.3499114890247,0.297867218456571,11.2463248100365,2.41444196613187e-29,4.8239386896825e-27
"VCAM1",323.706279336685,3.20185756965796,0.285079191900837,11.2314671172903,2.85694849015399e-29,5.64009247764567e-27
"SEMA3B",733.816752042,-2.84824012647586,0.254214808444195,-11.2040684958803,3.89428673093639e-29,7.59752433636684e-27
"GPRC5C",328.838519714068,-2.77695360962777,0.248637068530643,-11.168703146472,5.80218068133238e-29,1.11880886323878e-26
"ANGPTL1",355.894827963105,3.29938588220454,0.296069731620046,11.1439486372039,7.66441182778382e-29,1.46090737172574e-26
"SHISA5",1880.68712370135,1.98511979093651,0.178341233497087,11.1310197423802,8.8615879679078e-29,1.66990583263426e-26
"TMEM140",388.012054113154,3.27799562367391,0.294571044272931,11.1280306988922,9.16376398838171e-29,1.70744604740825e-26
"DHX58",209.088820922051,4.19285671074272,0.377573075092625,11.1047555753655,1.18942323718216e-28,2.19157839357685e-26
"IRF7",403.244523306601,2.72441058170024,0.245564295351223,11.0944898475717,1.33419038348679e-28,2.43130539883094e-26
"STAT2",1943.56370461608,2.15982358817907,0.195834235578141,11.0288355955885,2.77433723988448e-28,5.00074287489177e-26
"IGFBP6",969.772590576319,2.93586869646522,0.267841143884874,10.9612311756223,5.8695363069152e-28,1.04660774814596e-25
"TRIM69",312.191307079344,3.15716619325676,0.289474104248457,10.906558296306,1.07239881027898e-27,1.89187122030387e-25
"GBP2",272.564139324413,3.09026507894886,0.283375399457829,10.9051988452821,1.08855014188858e-27,1.90015021083561e-25
"PPL",361.058208151071,3.29442266427989,0.30245036048878,10.8924408585789,1.25237947422752e-27,2.1633550855328e-25
"COL9A2",5848.91342642768,-2.62647583983886,0.242261423761392,-10.8414942794431,2.18866577862464e-27,3.74171593885901e-25
"MEF2C",495.429639167635,-2.43769015852495,0.225385820813793,-10.8156322776795,2.90284026969454e-27,4.91202042779027e-25
"WNT11",373.996156629083,-3.19956341301483,0.296232629073081,-10.8008473712918,3.41041480711093e-27,5.67215771653982e-25
"GAPDH",54598.436546061,-1.90900574381934,0.176750344831265,-10.8005771962809,3.42046536606152e-27,5.67215771653982e-25
"PCDH9",381.189713234378,2.62062602593914,0.243224373339469,10.7745206204377,4.54141572841932e-27,7.45646505191857e-25
"PTGS2",314.683748154116,-2.83032400429992,0.262749283037884,-10.7719570975645,4.66967866417952e-27,7.59189032236166e-25
"SH3PXD2A",1632.18844004711,-2.41797326055185,0.225149048057296,-10.7394336392509,6.64507751647507e-27,1.06985748015249e-24
"MATN3",5498.32065990507,-2.41117257599779,0.225886567485198,-10.6742627631268,1.34319480806982e-26,2.14174995213671e-24
"RNF213",3123.60634070243,2.20193124698284,0.206561975303269,10.6599060342545,1.56755739969879e-26,2.46923661949808e-24
"PRAL",159.638166075054,3.94410954782965,0.370016943535583,10.6592674112243,1.57835784638966e-26,2.46923661949808e-24
"BMP8B",139.136345325421,-3.91126931269192,0.367262124774233,-10.6498030938973,1.74734266940548e-26,2.70805453147207e-24
"HLA-F",259.63811885754,3.53806218545621,0.335883713251872,10.5335925675059,6.04811995512489e-26,9.28666418665149e-24
"NGEF",495.312919276382,-2.54332393601924,0.24177277271818,-10.5194803675592,7.02599974986362e-26,1.06891884267879e-23
"ANGPT1",550.633447412939,2.81614968006213,0.268135934533059,10.5026940345249,8.39494264802824e-26,1.26557576302048e-23
"AC006064.4",21144.1449979078,-1.95104848042252,0.186678491397912,-10.4513833694091,1.44403346937943e-25,2.14227568434247e-23
"B3GNT7",173.649718591292,-3.49316578181919,0.334235948746618,-10.4511971106595,1.44687256012999e-25,2.14227568434247e-23
"TYMP",1181.45961246006,2.10942354082747,0.201962557183692,10.4446268171821,1.55064047392169e-25,2.27559920168525e-23
"ABCA6",221.388770886282,3.14425543293164,0.301205339864403,10.4389099952449,1.64690813033125e-25,2.39567346713009e-23
"HLA-C",6237.70605887526,2.04724390484457,0.196602602140478,10.4131068589914,2.160532450812e-25,3.11548779407091e-23
"SLC15A3",312.538605013772,3.42454641667499,0.330458660816896,10.3630100303908,3.65282386080431e-25,5.22196362790671e-23
"LAMA2",2978.92859774709,2.33409550433861,0.225338691934887,10.3581656762837,3.84260348859779e-25,5.44631569670232e-23
"PTCH1",322.864884665973,-2.70333193829671,0.262310672383123,-10.305840451464,6.63095067048297e-25,9.31873347191688e-23
"CMPK2",454.110792430437,9.04375956083634,0.881338406545516,10.2613927790622,1.05178632084037e-24,1.46569517298284e-22
"PTGFR",938.231015433156,2.00590573173343,0.195675304197264,10.2511951621204,1.16889159972782e-24,1.61531078319053e-22
"TGFBR3",488.222509406181,2.66952042977023,0.262248205122673,10.179365874102,2.45153687996837e-24,3.35982116367897e-22
"EEF2",20805.8353022972,-1.66721854441501,0.163835862379966,-10.1761514249452,2.53385287910551e-24,3.44417067985301e-22
"TLR3",138.301635278521,4.38922174718527,0.434691888896391,10.097316879615,5.6774290873854e-24,7.65437451675708e-22
"IGFBP2",386.179471855284,2.56757491123391,0.254685690034257,10.0813473693342,6.6803697466272e-24,8.93391705712249e-22
"ENPP1",1260.56041180998,-2.15406486355151,0.214132436325462,-10.0594982269642,8.34224408661068e-24,1.10671546950612e-21
"LEPR",453.512886698072,2.40761092770246,0.241673793002369,9.96223420749164,2.2299413552028e-23,2.93485059470858e-21
"COL12A1",45931.8829856389,-2.43475281377388,0.244545603998321,-9.95623218723079,2.36870142752138e-23,3.09292722618795e-21
"AKR1C3",230.031689854556,2.78266277749585,0.280176640410195,9.93181577672524,3.02692520212337e-23,3.92152348646967e-21
"APOL3",131.514899770118,5.34786098579992,0.539597055533607,9.91084167520416,3.7348639634069e-23,4.80118210117649e-21
"TRANK1",353.092614053284,2.82071050563378,0.285265263130718,9.88802658507089,4.69185376927881e-23,5.94453818666305e-21
"WISP2",213.353790769307,3.65327896204385,0.369468210614844,9.88793854812113,4.69598083852656e-23,5.94453818666305e-21
"COL5A1",22908.0751188136,-1.91594242903316,0.194085394530235,-9.87164662065639,5.52500805348317e-23,6.94100064779631e-21
"COL11A1",43669.4290559191,-2.18866447985823,0.223083744090285,-9.8109545757509,1.01008463855049e-22,1.25941605722427e-20
"TAP1",728.718921337857,2.2321400090567,0.228005590395878,9.7898477190016,1.2448322592466e-22,1.54052636978256e-20
"C1S",6278.89510852616,2.04740306909292,0.209922553782303,9.75313529777342,1.78857306800863e-22,2.19703016198423e-20
"CD74",217.919140824956,3.43394058519173,0.35266394391937,9.73714677783116,2.09349793330281e-22,2.55268207558534e-20
"AC105020.4",383.235511996514,-2.46086597054851,0.252959834652923,-9.728287393629,2.28405915450769e-22,2.76471189483219e-20
"VEGFA",5251.33878506599,-1.77350838316682,0.183081752880849,-9.68697510953495,3.42522923651488e-22,4.11598379921205e-20
"ISLR",1383.8234522544,1.90648576663486,0.197144659487669,9.67049156487099,4.02440366875075e-22,4.80120043445279e-20
"ZNFX1",1302.63870350586,2.00429277303616,0.207821345518534,9.64430659437442,5.19611688008004e-22,6.1548004444548e-20
"TGM2",200.782256927748,-3.23518402371147,0.335570516529417,-9.64084704809834,5.37426585378939e-22,6.32067025910563e-20
"OLFML3",4272.2183580104,2.11795927027121,0.21980989047707,9.63541388276226,5.66631911336476e-22,6.61722322936112e-20
"DKK1",558.365010201098,2.28750259699074,0.238353777503796,9.5970897585389,8.22334968614264e-22,9.5362103388324e-20
"PLIN2",1328.6692334116,2.02354023799266,0.212824903134157,9.508004975889,1.94353978793023e-21,2.23817502105882e-19
"COL21A1",126.11990409542,4.06140232458509,0.427498110958348,9.5003982952823,2.09089019607186e-21,2.39125738768687e-19
"TNFRSF10D",374.056349851644,-2.2569929987372,0.237642062165885,-9.49744745592096,2.15098057439447e-21,2.44313088117695e-19
"DSG2",224.934211628276,-2.79625124415125,0.296040381200704,-9.44550615970021,3.5369070406922e-21,3.98996799019039e-19
"CHSY1",876.80077666358,-1.80846247103202,0.191918587153349,-9.42307098992453,4.38083734490754e-21,4.88522309426538e-19
"CFB",153.77011938702,3.97940205544758,0.422313369494985,9.42286544280203,4.3894243565431e-21,4.88522309426538e-19
